date,Region,Municipality,cases,deaths,ncases,ndeaths
2020-03-27,Northern,Rozaje,0,0,0,0
2020-03-27,Northern,Savnik,0,0,0,0
2020-03-27,Northern,Zabljak,0,0,0,0
2020-03-27,Northern,Pljevlja,0,0,0,0
2020-03-28,Central,Podgorica,28,0,1,0
2020-03-28,Central,Cetinje,0,0,0,0
2020-03-28,Central,Danilovgrad,1,0,0,0
2020-03-28,Central,Niksic,0,0,0,0
2020-03-28,Central,Tuzi,32,0,5,0
2020-03-28,Costal,Bar,6,0,3,0
2020-03-28,Costal,Budva,4,0,0,0
2020-03-28,Costal,Herceg Novi,4,0,0,0
2020-03-28,Costal,Kotor,0,0,0,0
2020-03-28,Costal,Tivat,1,0,1,0
2020-03-28,Costal,Ulcinj,3,0,0,0
2020-03-28,Northern,Andrijevica,6,0,0,0
2020-03-28,Northern,Berane,0,0,0,0
2020-03-28,Northern,Bijelo Polje,0,0,0,0
2020-03-28,Northern,Gusinje,0,0,0,0
2020-03-28,Northern,Kolasin,0,0,0,0
2020-03-28,Northern,Mojkovac,0,0,0,0
2020-03-28,Northern,Petnjica,0,0,0,0
2020-03-28,Northern,Plav,0,0,0,0
2020-03-28,Northern,Pluzine,0,0,0,0
2020-03-28,Northern,Rozaje,0,0,0,0
2020-03-28,Northern,Savnik,0,0,0,0
2020-03-28,Northern,Zabljak,0,0,0,0
2020-03-28,Northern,Pljevlja,0,0,0,0
2020-03-29,Central,Podgorica,28,0,0,0
2020-03-29,Central,Cetinje,0,0,0,0
2020-03-29,Central,Danilovgrad,1,0,0,0
2020-03-29,Central,Niksic,0,0,0,0
2020-03-29,Central,Tuzi,32,0,0,0
2020-03-29,Costal,Bar,6,0,0,0
2020-03-29,Costal,Budva,4,0,0,0
2020-03-29,Costal,Herceg Novi,4,0,0,0
2020-03-29,Costal,Kotor,0,0,0,0
2020-03-29,Costal,Tivat,1,0,0,0
2020-03-29,Costal,Ulcinj,3,0,0,0
2020-03-29,Northern,Andrijevica,6,0,0,0
2020-03-29,Northern,Berane,0,0,0,0
2020-03-29,Northern,Bijelo Polje,0,0,0,0
2020-03-29,Northern,Gusinje,0,0,0,0
2020-03-29,Northern,Kolasin,0,0,0,0
2020-03-29,Northern,Mojkovac,0,0,0,0
